,Clean_Job_decription,skills
10,responsibility requirement elicitation software design implementation providing technical solution expected skill set strong knowledge embedded concept architecture good knowledge c c language experience debugging software hardware issue hand experience autosar architecture soft skill good communication interpersonal skill goal oriented team player focus quality willingness take higher responsibility,"['design', 'debugging', 'software']"
11,mandatory skill hand experience programming low level driver linux hand experience communication protocol lin flexray hand experience debugging using lauterbach gdb etc internode communication experience hand experience error management diagnostic concept strong autosar conceptso basic autosar conceptso autosar modeling configurationo system configuration toplevelcomposition like component instance connector ecu configuration bsw configuration like o network management commstack etc activity sdlc requirement analysis coding design testing review etc work experience automotive domain good programming skill c c,"['lin flexray', 'component', 'bsw configuration', 'design', 'linux', 'testing', 'network management', 'lauterbach gdb', 'debugging']"
12,support varied system engineering topic wrt ecu software development platform customer specific requirementsformulate detailed requirement verification criterion level sensor actuator assignment requirement different domain sw hw cal usage tool requirement engineering doorsability handle product engineering process component development sw development calibration failure handling sw solution automotive system,"['component', 'actuator', 'engineering', 'software', 'support']"
13,hand experience sw engineering automotive domaingood programming skill c c experience application bsw integration responsible sw delivery good hand experience social coding git mks svn etc experience scripting automation language python perl etcexposure build tool chain compilation tool like arm ghs compiler etc hand experience communication protocol lin ethernet etc hand experience debugging using lauterbach gdb trace32 etc exposure autosar concept modeling configurationecu configuration bsw configuration like o network management commstack etc hand experience error management diagnostic conceptsall activity sdlc requirement analysis coding design testing review etc strong communication skill drive result added advantage experienced automotive bsw integration topic added advantage experienced jenkins,"['bsw integration', 'bsw configuration', 'python', 'lin', 'engineering', 'design', 'git', 'compiler', 'bsw integration topic', 'ethernet', 'jenkins', 'testing', 'network management', 'lauterbach gdb', 'debugging', 'perl']"
14,video project camera based driver assistance system help driver recognizing surroundings quickly reliably processing information remarkable speed responding situation safe comfortable manner overall help improve safety mitigating potential accident predictive sensing dangerous situation also sharing critical information driver improve driving experiencefor info job description 1 customer requirement analysis system software requirement elicitation design implementation vehicle diagnostics software fault management software2 development execution unit test part development3 analyzing debugging defects4 actively respond customer query defect close within stipulated timetechnical skill 1 solid experience c c programming automotive embedded software2 experience development vehicle diagnostics fault management software3 experience protocol like iso 14229 iso 15765 iso 142304 basic overview iso 26262 asil standards5 experience autosar module like diagnostic error management dem diagnostic communication management dcm com stack ethernet protocol 6 knowledge tool like cananalyzer canoe lauterbach7 good work experience microcontrollers ability develop software nvm eeprom handling etc 8 familiar tool like git mks jira doors9 excellent verbal written communication skill presentation skills10 great problem solving ability ability cope pressure,"['14229', '8', 'cananalyzer canoe lauterbach7 good', 'design', '1', 'git', '26262', 'ethernet', 'software', '6', 'debugging']"
15,feature subsystem ownership customer project e g specialist feature function responsible customer interaction product requirement analysis responsible system requirement design implementation function base sw development diagnostics uds memory stack advanced driver assistance system responsible development execution necessary test part development responsible handling complex task delivery subcomponents feature mentoring lesser experienced team member progression towards topic ownership contribute improve team training competency plan active contribution towards debugging complex issue solution,"['design', 'interaction', 'debugging']"
16,experience programming embedded c application strong background c inheritance template pointer strong o concept like efficient multi threading resource sharing opengl opengl e knowledge added advantage experience rendering engine like open scene graph added advantage strong communication interpersonal skill must self starter ability work part dedicated project team independently strong c programming skill automotive domain design methodology using ooad uml embedded development tool methodology version control system clear case rtc gitstrong development experience embedded c rtosshould detailed knowledge microcontrollers microprocessor arm renesas preferable strong development experience ethernet flexray uds kwp spi uart i2c communication protocolsknowledge tool like canalyser canoe candiva canstress candela studio lauterbachexperience configuration management defect tracking toolsstrong debugging skillsexperience using tool like logiscope function generator oscilloscope etc,"['i2c', 'canoe candiva', 'design', 'microprocessor', 'rtc gitstrong', 'kwp', 'ethernet', 'sharing opengl opengl e knowledge', 'version control system', 'candela', 'debugging']"
17,expected scope work responsibility sap p consultant exposure cpm ppmresponsibilities responsible conducting business blueprint workshop finalize solution design prepare blueprint documentation functional specification complete build unit testing system integration testing participating performance regression testing conduct training core team participation cutover post go live support related sap p ppm cpm reporting program director cfo executive team organizationkey skill depth knowledge sap commercial project management project system portfolio project management min 1 2 implementation cpm ppm completed experience industry corporate process implementation across related application sap non sap experience defining system strategy developing system requirement designing prototyping testing training defining support procedure implementing practical business solution multiple deadliness experience managing sap cpm p ppm team member active involvement functional business process owner order identify business requirement define business process solution configure test sap system document business process design configuration setting ability work fast paced team atmosphere work client personnel various level effectively critical good written oral communication english skill experience min 4 year sap experience implementing sap cpm good knowledge implementing sap cpm discrete manufacturing hi tech automotive industry experience working closely portfolio project management project system work stream offshore onsite model experience performing business process redesign improvement workshop related portfolio project resource managementat least 2 full life cycle ppm cpm project experience including conducting blue printing workshop hand configuration functional specification preparation ability guide technical teamexpertise ppm integration point project system internal order hr cat purchasing ficoexperience ppm report bcv queriesminimum 5 year consulting experience implementing sap portfolio project management ppm,"['4 year', '1 2', 'business', 'business process', 'documentation', 'design', 'managementat least 2', 'system integration', 'english', 'testing', 'specification', 'project management', '5 year', 'support']"
18,ada system tool specialistconcepts knoweldge oop testing concept istqb foundation level minimum 1 2 year testing experience configuration management git concept rest apis socket programming com interface m azure cloud concept plus dev ops ci cd concept programming language knoweldge framework python c javascript plus angular framework plus groovy plus writing jenkins pipeline tool knoweldge vector canoe vteststudio rqm powerbi plus bitbucket jira jenkins usage jenkins admin plus m azure pipeline plus,"['plus dev', 'programming language', 'jira jenkins', 'angular', '1 2 year', 'python', 'canoe vteststudio', 'framework', 'git', 'jenkins', 'javascript', 'groovy', 'testing', 'ada system', 'bitbucket', 'rqm powerbi plus', 'azure']"
19,responsible sw requirement analysis internal request sw component put new sw operation test swhandling tracking system requirement issue sw coordination system sw requirement issue sw customer project customer platforminitiation technical system sw requirement clarification customer function development calibrationidentifying customer requirement affecting monitoring functionscreating rough system requirement descriptioncarrying system sw implementation review function development required customer carrying functional acceptance delivered system sw function development demand customer verification customer documentationclarifying functional safety related requirementstake lead driving initiative enhance team know,"['monitoring', 'tracking system', 'component']"
20,design develop benchmark microprocessor based vehicle computer sw platform solutionstechnically enable project development adhering project requirement goal scope deliverable provide sound technical advice system point view requirement analysis architecture design implementation test document documentation da product projectsensuring timely completion delivery task ensure process compliance respect process landscape aspice,"['documentation', 'design', 'microprocessor']"
21,software architect need interact customer product manager developer order envision model provide initial model design built role also may cover meeting potential current customer software architect constantly review code ensure quality design avoiding complexity advocating clarity team usually requires hand work term developing prototype contributing code evaluating technology role software architect includes collaborative working degree humility providing mentoring required collaboration also allows architect become familiar skill interest team share knowledge rest team humility required ensure team listened may specific experience knowledge problem hand software architect guiding star show business technology using new technology considering,"['collaboration', 'design', 'business', 'software']"
22,must minimum 5 6 year experience sap plm experience oo abap webdypro fpm workflow enhacement framework enterprice search embedded search trex bopf ui5 mandatory good adhoc process route powl uwl worklist plm webui nwbc bcv adobe form technical skillsmandatory preferred oo abap mandatorywebdynpro mandatoryfpm mandatoryworkflow standard mandatoryadhoc process route powl uwl worklist preferred document management system preferredplm webui nwbc bcv preferred enhancement framework mandatoryadobe form preferredplm access control management preferredenterprise search embedded search trex mandatorybopf mandatorysap migration ui5 preferred,"['access control', 'mandatorysap migration', 'trex', 'trex mandatorybopf', 'framework', 'document management system', '5 6 year', 'workflow']"
23,function developer role involves developing algorithm automotive application user interface inside vehicle vehicle dynamic controlling function vehicle safety function customization different module influence vehicle safety dynamic detailed activity found mentioned work next generation braking platform hybrid electric vehicle work algorithm development automated braking function park assist trafficjam pilot model based sensor signal processing model based sw development using ascet tool development testing simulation vehicle environment support cross functional team vehicle application hydraulics sensor working global engineering team realize oem requirementsskill set knowledge embedded sw development knowledge sensor actuator relevant automotive electronics good analytical skill research mindset hand experience validation embedded sw application,"['signal processing', 'algorithm', 'actuator', 'engineering', 'simulation', 'testing', 'user interface', 'support']"
24,job description requirement analysis design implementation security concept secure boot secure flash secure communication da product area radar video ultrasonics development execution necessary test part development delivery configuration management participation regular scrum ceremony ensure process compliance respect aspice qmmskills required good knowledge c c good debugging skill good knowledge micro controller processor usage crypto library hardware security module pki awareness sw development life cycle process method tool familiar jenkins jira door git cmake knowhow uds ethernet spi i2c rtos autosar architecture nvm dcm good communication skill ability work independently,"['nvm dcm', 'security', 'design', 'git', 'ethernet', 'jenkins jira door', 'spi i2c', 'secure communication', 'debugging', 'library']"
25,1 application engineering bodas bosch rexroth mobile electronics product solution 2 development control software various mobile machine highway machine whheel loader excavator tractor etc based bosch rexroth family ecu electronic control unit display using c compiler codesys iec 6113 standard based programming tool 3 design application solution various customer application requirement using bosch rexroth bodas mobile electronics product ecu display sensor joystick application software module iot product 4 involve various customer discussion project collect detailed requirement freezing requirement sign project 5 work technical documentation inline bosch rexroth internal process 6 provide technical training customer bosch rexroth bodas mobile electronics product software system solutions7 based experience feedback supported project define requirement development upgradation associated development environment like bug fixing additional requirement integration 8 site commissioning testing project solution customer factory location end customer field trial across pan india,"['3', '8', '4', 'engineering', 'design', '1', 'mobile', 'compiler', 'documentation', 'pan india', '5', 'software', '6', '6113', '2', 'testing']"
26,must minimum 5 6 year experience sap plm 4 hana developer technical skill mandatory preferred min yr exp 1 oo abap mandatory 6yrs2 core abap mandatory 6yrs3 ecm process overview mandatory 3yrs4 enhancement framework mandatory 2yrs5 plm access control management preferred 2yrs6 4hana development preferred 2yrs,"['2yrs6', 'access control', '6yrs2', '6yrs3', 'framework', '3yrs4', '2yrs', '4hana', '5 6 year', '2yrs5']"
27,job descriptiontaskstechnically lead project team working autosar base software configuration integrationidentify resolve issue faced project oem acceptance test autosar base softwareliaising customer across geography autosar base softwareeffort estimation task providing input project manager proper planning execution projectsreview creation engineering specification high low level design doc test case etc skillssound knowledge classic autosar software configuration integration methodology using system ecu extract dext dbc fibex rte swcd arxmlhands experience configuring autosar base software module communication network management ethernet flexray fd lin com pdur time synchronization ethtsyn frtsyn cantsyn stbm diagnostics dcm dem det transport protocol system module o ecu state manager experience gateway routing project configuration integrationexperience canoe based test environment capl test scriptsknowledge memory eeprom flash fee nvm mcal micro controller startup timer watchdog security stackdevelopment experience autosar basic software module knowledge scripting language python perl oaw system configuration toplevelcomposition like component instance connector added advantage ability suggest innovative solution get root cause technical problem motivate team technical excellencegood communication interpersonal skillsknowledge cmmi iso quality standard compliance,"['security', 'component', 'python', 'scripting language', 'engineering', 'design', 'synchronization', 'ethernet', 'canoe', 'software', 'specification', 'network management', 'perl']"
28,conceptualize document communication sw design automotive ecu base sw requirement gathering requirement elicitation function feature owner fo task defining interface co ordination component interface definition preparing design requirementsable estimate task basic planning able identify dependency solve give technical direction team arriving robust solutionperform reviewsquality risk handling per standard process organizationmentor build competency within teamhave innovation mindset look new tool technology incorporated product development assist project manager team project management activity,"['design', 'component', 'project management']"
29,video project camera based driver assistance system help driver recognizing surroundings quickly reliably processing information remarkable speed responding situation safe comfortable manner overall help improve safety mitigating potential accident predictive sensing dangerous situation also sharing critical information driver improve driving experiencefor info customer requirement analysis system software requirement elicitation design implementation software based autosar com stack2 development execution unit test part development3 analyzing debugging defects4 actively respond customer query defect close within stipulated timetechnical skill 1 solid experience c c programming automotive embedded software2 good understanding autosar architecture3 basic overview iso 26262 asil standards4 knowledge tool like cananalyzer canoe canstress lauterbach5 hand experience protocol like fd ethernet6 familiar tool like git mks jira doors7 excellent verbal written communication skill presentation skills8 great problem solving ability ability cope pressure,"['canoe canstress', '1', 'design', 'git', 'software', 'debugging']"
30,hand experience git deep understanding git concept example sub module able propose solution concept experience developing web service apis experience git rest api added advantage good knowledge spring hibernate framework knowledge one scripting language required example python vba groovy experience implementing ci cd pipeline using git scm good knowledge software development process waterfall agile,"['rest api', 'python', 'scripting language', 'spring', 'git', 'framework', 'groovy', 'hibernate', 'software', 'vba', 'web service', 'one']"
31,strong knowledge c automotive domain knowledge worked development testing automotive domain excellent debugging unit testing skill tool code excellent analysis problem solving skill good scripting language experience preferably python preferably working experience canoe canape preferably working experience adtf matlab simulink,"['domain knowledge', 'python', 'scripting language', 'testing', 'debugging']"
32,modern vehicle diagnostic interface board diagnostics make possible connect computer client diagnostics tool referred tester bus system vehicle thus message defined uds sent controller must provide predetermined uds service make possible interrogate fault memory individual control unit vehicle update new firmware diagnostics communication protocol module developer role deal sw development fit context mentioned along detailed sw development activity mentioned analyze customer requirement spec proposal software design implementation customer project specification interface customer project platform sw development group integration test delivery uds unified diagnostic service based network communication related software project development along planning coordination release series production follow company development quality process investigate issue problem project development production,"['release', 'design', 'modern vehicle diagnostic interface board', 'software', 'specification']"
33,role responsibilitiesbuild manage team software engineersinterface external customer understand requirement set priority communicate direction progressown operational metric support team softwareprovide technical leadership every aspect softwaremanage agile development process methodology deliver value customershelp develop long term development business technology strategiesqualificationsbachelor degree higher technical field computer sciencemin 7 year experience developing software using java j2ee technologiespractical experience software engineering best practicesexperience agile software development methodologiesexcellent written verbal communication skillsjava j2ee certification must,"['business', 'java', '7 year', 'software', 'support', 'software engineering']"
34,job description software engineer developer responsible activity within sw requirement analysis like requirement development review also support sw architectural design topic especially concerning relation software requirement key task responsibility sw requirement analysis sw req specify sw requirement sys requirement establish traceability fill mandatory sw requirement criterias attribute review agree sw requirement create baseline sw requirement ready baseline implement sw requirement perform unit testing code quality check analyze ensure process compliance sw development,"['code quality', 'design', 'sys', 'software', 'testing', 'support']"
35,tasksdevelopment bootloader software various product linesunderstanding specification oems estimation implementation product line platforminteractions product line team basic software platform teamsmaintenance delivered bootloader softwaresingle point contact technical query assigned product lineguiding mentoring team profile mandatory competenciesexpertise c languageworking experience bootloader software developmentstrong microcontroller basic knowledge automotive domain diagnostics uds kwp 2000 eeprom spi flexray ethernet doipknowledge tool scripting language like canoe cananlyser capl perlpassion work different microcontroller develop low lever driversembedded software de bugging skillsgood problem solving skillsdesirable skillsknowledge autosar architectureknowledge integrating basic software,"['scripting language', 'ethernet', 'software', 'microcontroller', 'specification']"
36,looking highly motivated creative engineer experience embedded domain driver development along security fundamental join security software team someone hard working passionate work design build key security feature tooling microcontrollers processor demonstrate ability excel environment complex multifaceted software design strong proficiency programming language embedded cstrong knowledge detailed design methodology using enterprise architect requirement handling using doorshands experience debugger compilersshould detailed knowledge microcontrollers microprocessor architectureshands experience classic autosar base sw developmentstrong analysis debugging skillsexperience scripting language like shell perl python make etc strong communication interpersonal skillsmust self starter self learnerexperience configuration management system defect tracking toolsexperience following embedded security concept advantage hand knowledge symmetric asymmetric cryptographyhardware security module hsm tpm arm trust zone hand experience developing cryptographic primitive like aes cmac rsa ecc tl ipsec secoc etcworking knowledge security library like openssl libresslhands experience trusted execution environment arm trust zone hsm tpm driver firmware development cse peripheral e fuse driversknowledge experience quality process safety standard aspice cmmi iso 26262 plusc java programming skill added advantage,"['programming language', 'security', 'python', 'scripting language', 'design', 'microprocessor', 'tl ipsec secoc', 'shell', 'java programming skill', 'software', 'debugging', 'perl', 'library']"
37,mandatory competency excellent automotive system knowledge ecu sensor software technical mindset experience c coding sw compilation concept excellent project management skill including resource management risk management etc team handling experience least 5 member knowledge sw development life cycle ability understand take decision technical proposal good communication interpersonal skill desirable skill good negotiating convincing skill embedded design development experience awareness hardware hardware software interface software development model experience working international inter cultural team pmp certified experience working agile process additional skill working experience active safety project tool experience using change management version management tool like rational clearquest alm svn door etc japanese german language competency passion towards vehicle driving dynamic,"['japanese', 'design', 'german', 'software', 'project management']"
38,hand software development experience communication bosch volcano vector stack tester diagnostic dsm flexray lin hand experience programming c assembly real time embedded systemshands experience using testing application tool like inca es590 labcar canalyzer etchands experience software configuration management toolsknowledge python script comate masic tool would additional advantageneed passion automotive engineeringeffective customer coordination skillsable solve technical problem query independently minimum customer interactionhsm autosar security algo lib,"['python', 'security', 'testing', 'software']"
39,experience programming embedded c application strong development experience embedded c rtosstrong debugging skillsembedded development tool methodology version control system clear case rtc gitshould detailed knowledge microcontrollers microprocessorsstrong development experience lin flexray uds kwp spi communication protocolsknowledge tool like canalyser canoe candiva canstress candela studio lauterbachexperience scripting language like shell perl capl make etc experience using tool like logiscope function generator oscilloscope etcexperience configuration management defect tracking toolsautomotive domain powertrain system knowledge plusability work part dedicated project team independentlystrong communication interpersonal skill must self starter,"['lin flexray', 'canoe candiva', 'rtc', 'scripting language', 'kwp', 'shell', 'version control system', 'candela', 'debugging', 'perl']"
40,expertise embedded c software development oaw scripting good understanding w development tool used different phase sdlc knowledge debugging technique testing tool ude debugger autosar knowledge would added advantage exposure aspice door added advantage good experience customer interaction handling,"['interaction', 'debugging', 'testing', 'software']"
41,experience agile methodologyable facilitate daily scrum sprint planning backlog refinement sprint demo retrospective meetingsable communicate discus escalate topic different stakeholder needmanage technical operational risk resolve issuesexperience requirement elicitation concept design development testingexpertise c programmingexperience autosar concept architecture including safety topic relevant bswexcellent hand experience autosar configuration tool bsw configuration bct vector toolsexpertise bsw function developmentexperience hardware hardware software interface software development model automotive system knowledge ecu sensor actuatorsexpertise debugging technique methodsexperience usage testing tool like debugger simulator vector toolsexperience unit test using cantata good knowledge aspice standardgood knowledge asil safety standardexcellent communication interpersonal skill,"['bsw configuration bct', 'design', 'scrum', 'bsw', 'software', 'debugging', 'testing']"
42,knowledge python shell bash mandatorycontinuous integration build tool like jenkins mandatorylinux system administration knowledge mandatoryautomation continuous test tool good haveknowledge c c good haveautomotive knowledge optionalworking knowledge azure pipeline good,"['python', 'bash', 'jenkins', 'shell', 'azure']"
43,responsible developing control algorithm sw braking system product ab msc acc sdc application software development compliance aspice requirement technical skill experience embedded automotive software development hand experience programming language c c know understanding different vehicle component operationsunderstanding sw development life cycle v model agile experience model based development usage tool like ascet matlabexperience requirement management tool like door design scm tool like clearcase rtc alm mks unit test tool like cantata debugger knowledge automotive safety standard iso26262 process aspice logical analytical debugging problem solving skillsawareness ev autonomous vehicle function would added advantageknowledge automotive protocol communication flexray added advantagesoft skill must able learn understand apply work new technology abstract concept self motivated individual manage shifting priority flexible ability work independent well good team player strong written oral communication skill strong interpersonal skillscustomer interaction stakeholder management,"['ab msc acc sdc application', 'algorithm', 'programming language', 'iso26262', 'component', 'interaction', 'rtc', 'design', 'software', 'debugging']"
44,job description base software middleware development c qnx linux vehicle computer ada microprocessorsperform requirement analysis develop sw detailed designensure process compliance respect aspice skill required ability develop software different layer like kernel base sw middleware application qnx linux system experience operating system qnx linux rtosexperience multithreading multicore cpu sw developmentexperience shared memory ipc mechanism dma etcexperience mmu system boot etcgood know qnx microkernel architectureexpertise communication interface i2c spi uart gpio mcspi ospi hyperbus experience high speed communication interface like pcie ethernet switch etcexperience tool like qnx momentics debugging tool like gdbexperience working arm x86 multi core processor environmentknowledge adaptive autosarstrong software development real time embedded systemsstrong programming knowledge embedded c c good understanding ooad umlexperienced design architecture tool like eascm tool like git keyword multithread multicore mpu microprocessor qnx microkernel pcie ethernet switch shared memory soft skill self motivated individualsability work independent well good team playerstrong written oral communication skillsstrong interpersonal skillscustomer interaction stake holder managementqualificationsme tech embedded b tech ece cse embedded backgroundadditional informationexperience 2 8 year,"['i2c', 'interaction', 'middleware', 'design', 'microprocessor', 'git', '2 8 year', 'ethernet', 'linux', 'software', 'operating system', 'shared memory', 'debugging']"
45,feature subsystem ownership customer project e g specialist diagnostics uds memory stack responsible customer interaction product requirement analysis responsible system requirement design implementation function base sw development diagnostics uds memory stack advanced driver assistance system responsible development execution necessary test part development responsible handling complex task delivery subcomponents feature mentoring lesser experienced team member progression towards topic ownership contribute improve team training competency plan active contribution towards debugging complex issue solution,"['design', 'interaction', 'debugging']"
46,dem ssp pr role involved sw development customer specific requirement relevant work scope along detailed activity mentioned analyze customer requirement spec proposal software design implementation customer project specification interface customer project platform sw development group integration test delivery system safety shutdown strategy sensor modelling planning coordination release series production follow company development quality process investigate issue problem project development production department task support coordinationskill set software designing experience similar area automobile industry institute background sensor signal processing control system knowledge iso26262 ece13h fmvss126 regulation c ascet experience knowledge vehicle dynamic good documentation report ability good analytical communication skill,"['signal processing', 'iso26262', 'fmvss126', 'release', 'design', 'documentation', 'software', 'specification', 'support']"
47,mandatory competency good understanding sw project lifecycle embedded system concept automotive domain excellent c c programming skill strong knowledge uds iso 14229 obd experience requirement elicitation concept design development testing automotive system knowledge ecu sensor software technical mindset good understanding embedded software development automotive domain adaptive challenging situation good knowledge cmmi iso aspice quality standard experience using change management version management tool like rational clearquest svn door clearcase etc experience usage testing tool like labcar debugger simulator etcdesirable skill hand experience customer specific diagnostic tool experience autosar development environment experience using software tool like diamant tool canalyzer canoe tata similar tool awareness hardware hardware software interface software development model experience vehicle function experience working international inter cultural team working experience different project across globe excellent communication interpersonal skill,"['14229', 'design', 'embedded system', 'software', 'canoe tata', 'testing']"
48,looking motivated professional take process consultancy coaching domain expert profile flair planning coaching consulting providing guidance domain like hardware software calibration core working area process architecture process modelingoverview engineering process method tool compliance standard like aspice iso26262 etcclose association agile development modelcollaboration joint team development skill cross functional team structureapplication analytical thinking influential communication worldwide stakeholderspassion learn new lead initiative inspire self teamrealization implementation requirement process responsiblecollaboration stakeholder domain responsible process responsible product ownerlearn stag v7 tool architecture coach consult stakeholder modelling process know engine ecu developmentknowledge aspice added advantage,"['engineering', 'iso26262', 'software']"
49,development maintenance diagnostic application pdv persistent data viewer stand alone console applicationissue debugging resolution applicationprovide technical solution end user based queriesbe accountable overall ontime defect free delivery applicationhave experience developing window application,['debugging']
50,seeking cybersecurity expert driver assistance electronic control unit based ultrasonic sensor near range camera cyber security expert design security solution support system engineer develop secure connectivity solution responsible developing cutting edge automotive cybersecurity solution trusted boot secure communication secure logging secure coding ethernet security e g secoc tl sota fota software firmware air fuzz testing discus review customer security requirement propose solution ensure bosch product satisfies security requirement application configuration hardware trust anchor crypto stack library develop security architecture system software level along project architect develop security concept identify gap customer security requirement security platform perform tara identify remaining residual risk customer project identify plan establish coordinate monitor security activity identified process throughout product development life cycle provide technical support development team collaborate incident response customer complaint related security issue beyond scope product engineering consider impact production field use case e g return analysis,"['testing', 'security', 'engineering', 'design', 'ethernet', 'residual', 'software', 'secure communication', 'support', 'library']"
